type_of_algo,minRF,minCS,maxOR,inpfile,outfile,data_read,patterns_checked,process_done
cmine,0.045,0.5,0.6,./../dataset/kosarak/kosarak_60K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.6_kosarak_60K.txt,0.152727127075,262,8.18123197556
cmine,0.045,0.5,0.6,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.6_kosarak_65K.txt,0.163457870483,261,8.60234284401
cmine,0.045,0.5,0.6,./../dataset/kosarak/kosarak_70K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.6_kosarak_70K.txt,0.17436504364,262,9.14045095444
cmine,0.045,0.5,0.6,./../dataset/kosarak/kosarak_75K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.6_kosarak_75K.txt,0.186408042908,262,9.78510284424
cmine,0.045,0.5,0.6,./../dataset/kosarak/kosarak_80K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.6_kosarak_80K.txt,0.197556018829,263,10.9885160923
cmine,0.045,0.5,0.6,./../dataset/kosarak/kosarak_85K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.6_kosarak_85K.txt,0.211967945099,263,11.2286901474
cmine,0.045,0.5,0.6,./../dataset/kosarak/kosarak_90K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.6_kosarak_90K.txt,0.221194028854,261,11.7630999088

cmine,0.05,0.5,0.1,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.05_0.5_0.1_kosarak_65K.txt,0.162254095078,49,1.57412290573
cmine,0.05,0.5,0.2,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.05_0.5_0.2_kosarak_65K.txt,0.164557933807,57,1.89189600945
cmine,0.05,0.5,0.3,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.05_0.5_0.3_kosarak_65K.txt,0.161443948746,69,2.35589885712
cmine,0.05,0.5,0.4,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.05_0.5_0.4_kosarak_65K.txt,0.163733959198,82,2.80841994286
cmine,0.05,0.5,0.5,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.05_0.5_0.5_kosarak_65K.txt,0.164892911911,125,4.17576694489
